Order Date,QB Num,P. O. #,Name,Deliv Date,Qty(+),Item,Inventory Site
2025/07/24,POD-251046,SO-20251050,Neousys Technology Incorp.,2025/10/03,34.0,AccsyBx-6AntiVG-POC-551VTC,Drop Ship
2025/07/24,POD-251047,SO-20251051,Neousys Technology Incorp.,2025/11/21,24.0,AccsyBx-6AntiVG-POC-551VTC,Drop Ship
2025/07/24,POD-251048,SO-20251052,Neousys Technology Incorp.,2025/12/19,29.0,AccsyBx-6AntiVG-POC-551VTC,Drop Ship
2025/09/18,POD-251338,SO-20251316,Neousys Technology Incorp.,2025/10/01,1.0,AccsyBx-Cardholder-9160GC-2000E,WH01S-NTA
2025/09/08,POD-251279,SO-20251262,Neousys Technology Incorp.,2025/09/24,8.0,AccsyBx-FAN-NRU-100,WH01S-NTA
2025/09/15,POD-251324,SO-20251307,Neousys Technology Incorp.,2025/10/03,6.0,AccsyBx-FAN-Nuvo10208GC,Drop Ship
2025/09/11,POD-251304,SO-20251297,Neousys Technology Incorp.,2025/10/03,6.0,AccsyBx-FAN-POC-545,Drop Ship
2025/09/17,POD-251333,SO-20251311,Neousys Technology Incorp.,2025/10/01,20.0,Ant-RP_SMAM-WiFi-108MM,WH01S-NTA
2025/09/30,POD-251383,,Neousys Technology Incorp.,2025/10/15,20.0,Ant-RP_SMAM-WiFi-108MM,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,2.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,50.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,40.0,Ant-RP_SMAM-WiFi-196MM1,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,50.0,Ant-SMAM-LTE,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,40.0,Ant-SMAM-LTE,WH01S-NTA
2025/07/25,POD-251059,SO-20251032,Neousys Technology Incorp.,2025/10/22,25.0,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA
2025/07/25,POD-251060,,Neousys Technology Incorp.,2025/11/19,25.0,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,4.0,Cbl-IDC085F-DB9M-30CM,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,25.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2025/09/17,4.0,Cbl-M12A8M-2U2TA-180CM2,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,1.0,Cbl-M12A8M-DB9F-180CM,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,2.0,Cbl-M12A8M-DB9F-180CM,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,2.0,Cbl-M12A8M-DB9M-180CM,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,4.0,Cbl-M12A8M-DB9M-180CM,WH01S-NTA
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2025/09/17,4.0,Cbl-M12L5F-CordEnd5-180CM,WH01S-NTA
2025/09/25,POD-251368,,Neousys Technology Incorp.,2025/10/08,2.0,Cbl-M12L5F-CordEnd5-180CM,WH01S-NTA
2025/09/25,POD-251368,,Neousys Technology Incorp.,2025/10/08,3.0,Cbl-M12S4F-CordEnd4-180CM,WH01S-NTA
2025/05/05,POD-250648,SO-20250640,Neousys Technology Incorp.,2025/10/01,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA
2025/05/05,POD-250649,SO-20250641,Neousys Technology Incorp.,2025/11/05,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA
2025/05/05,POD-250650,SO-20250642,Neousys Technology Incorp.,2025/12/03,10.0,Cbl-M12S4F-OW4-180CM1,WH01S-NTA
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2025/09/17,8.0,Cbl-M12X8M-RJ45-CAT6A-500CM,WH01S-NTA
2025/09/23,POD-251359,,Neousys Technology Incorp.,2025/10/01,25.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA
2025/09/17,POD-251333,SO-20251311,Neousys Technology Incorp.,2025/10/01,20.0,Cbl-MHF4-RP_SMAF-15CM,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,2.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,50.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,75.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA
2025/07/25,POD-251062,SO-20251044,Neousys Technology Incorp.,2025/12/24,5.0,Cbl-S68M-S68M-100CM,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,1.0,Cbl-W10F-2M12A8F-40CM-IK-COM,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,2.0,Cbl-W10F-2M12A8F-40CM-IK-COM,WH01S-NTA
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,2025/10/08,3.0,Cbl-W20F-2M12A10F-40CM-IK-COM,WH01S-NTA
2025/10/01,POD-251396,SO-20251390,Neousys Technology Incorp.,2025/10/29,1.0,Cbl-W20F-M12A10F-40CM-IK-COM,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,1.0,Cbl-W40M-M12A8F-40CM-IK-DIO1,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,2.0,Cbl-W40M-M12A8F-40CM-IK-DIO1,WH01S-NTA
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,2025/10/08,12.0,Cbl-W5M-M12A5F-40CM-PK-CANFD-TP,WH01S-NTA
2025/10/01,POD-251396,SO-20251390,Neousys Technology Incorp.,2025/10/29,4.0,Cbl-W5M-M12A5M-40CM-PK-CANFD-TP,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,3.0,DtC-M12-WP,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,6.0,DtC-M12-WP,WH01S-NTA
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,2025/10/08,18.0,DtC-M12-WP,WH01S-NTA
2025/10/01,POD-251396,SO-20251390,Neousys Technology Incorp.,2025/10/29,1.0,DtC-M12-WP,WH01S-NTA
2025/10/01,POD-251396,SO-20251390,Neousys Technology Incorp.,2025/10/29,4.0,DtC-M12M-WP,WH01S-NTA
2025/08/29,POD-251248,,Neousys Technology Incorp.,2025/09/10,5.0,Gpubr-Nuvo9160-01,WH01S-NTA
2025/09/22,POD-251351,,Neousys Technology Incorp.,2025/10/16,5.0,Gpubr-Nuvo9160-01,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,1.0,mPCIe-M2E,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,20.0,mPCIe-M2E,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,20.0,mPCIe-M2E,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,20.0,mPCIe-M2E,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,25.0,mPCIe-M2E,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,20.0,mPCIe-M2E,WH01S-NTA
2025/09/30,POD-251383,,Neousys Technology Incorp.,2025/10/15,10.0,mPCIe-M2E,WH01S-NTA
2025/07/25,POD-251062,SO-20251044,Neousys Technology Incorp.,2025/12/24,5.0,TB-10,WH01S-NTA
2025/10/01,POD-251394,,Neousys Technology Incorp.,2025/10/16,10.0,TB-3Pole-Push,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,1.0,7443P-1,WH01S-NTA
2025/09/23,POD-251360,SO-20251341,Neousys Technology Incorp.,2025/10/01,1.0,Core Ultra 9 285,WH01S-NTA
2025/09/24,POD-251362,SO-20251345,Neousys Technology Incorp.,2025/10/08,1.0,Core Ultra 9 285,WH01S-NTA
2025/08/18,POD-251172,,Neousys Technology Incorp.,2025/08/27,5.0,E-2278GE,WH01S-NTA
2025/08/28,POD-251229,SO-20251228,Neousys Technology Incorp.,2025/09/12,3.0,E-2278GE,WH02D-NTA
2025/10/01,POD-251396,SO-20251390,Neousys Technology Incorp.,2025/10/29,1.0,E-2278GE,WH01S-NTA
2025/09/12,POD-251314,A250289,Provantage LLC,2025/09/24,6.0,FAN-CPU-RM1,WH01S-NTA
2025/09/30,POD-251389,A250299,"Newegg Business, Inc.",2025/10/08,3.0,FAN-CPU-RM1,WH01S-NTA
2025/09/03,POD-251259,SO-20251249,Neousys Technology Incorp.,2025/10/31,13.0,i5-14500,Drop Ship
2025/09/12,POD-251314,A250289,Provantage LLC,2025/09/24,6.0,i5-14500,WH01S-NTA
2025/09/22,POD-251353,,Neousys Technology Incorp.,2025/10/01,1.0,i5-8500T,WH01S-NTA
2025/09/30,POD-251389,A250299,"Newegg Business, Inc.",2025/10/08,3.0,i7-12700,WH01S-NTA
2025/09/12,POD-251308,SO-20251259,Neousys Technology Incorp.,2025/10/01,1.0,i7-14700,WH01S-NTA
2025/09/08,POD-251273,,Neousys Technology Incorp.,2025/09/16,10.0,i7-9700E,WH01S-NTA
2025/09/08,POD-251278,SO-20251260,Neousys Technology Incorp.,2025/09/24,20.0,i7-9700E,WH01S-NTA
2025/05/05,POD-250648,SO-20250640,Neousys Technology Incorp.,2025/10/01,10.0,i7-9700TE,WH01S-NTA
2025/05/05,POD-250649,SO-20250641,Neousys Technology Incorp.,2025/11/05,10.0,i7-9700TE,WH01S-NTA
2025/05/05,POD-250650,SO-20250642,Neousys Technology Incorp.,2025/12/03,10.0,i7-9700TE,WH01S-NTA
2025/09/19,POD-251348,A250294r,Spectrum Sourcing,2025/11/05,4.0,i9-13900,WH01S-NTA
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,2025/10/08,3.0,i9-13900E,WH01S-NTA
2025/06/03,POD-250762,A250165,Provantage LLC,2025/06/20,14.0,i9-14900,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,1.0,i9-14900,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,2.0,i9-14900,WH01S-NTA
2025/09/01,POD-251251,SO-20251236,Neousys Technology Incorp.,2025/09/17,2.0,i9-14900,WH01S-NTA
2025/09/08,POD-251286,SO-20251153,Neousys Technology Incorp.,2025/10/01,7.0,i9-14900,WH01S-NTA
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,2025/10/22,1.0,i9-14900,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,25.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA
2025/09/24,POD-251363,SO-20251343,Neousys Technology Incorp.,2025/10/15,1.0,E-mPCIe-BTWifi-WT-6218_Mod_15CM,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,1.0,E-mPCIe-BTWifi-WT-6218_Mod_40CM,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,2.0,E-mPCIe-BTWifi-WT-6218_Mod_40CM,WH01S-NTA
2025/09/03,POD-251259,SO-20251249,Neousys Technology Incorp.,2025/10/31,13.0,E-mPCIe-BTWifi-WT-6218_Mod_40CM,Drop Ship
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,2025/10/22,1.0,E-mPCIe-BTWifi-WT-6218_Mod_40CM,WH01S-NTA
2025/09/25,POD-251369,SO-20251348,Neousys Technology Incorp.,2025/10/22,1.0,E-mPCIe-GPS-M800_Mod_40CM,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,20.0,M.2-LTE-7455,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,20.0,M.2-LTE-7455,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,20.0,M.2-LTE-7455,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,25.0,M.2-LTE-7455,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,20.0,M.2-LTE-7455,WH01S-NTA
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,2025/09/17,20.0,M.230-BTWIFI-AX210,WH01S-NTA
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,2025/09/17,20.0,M.230-BTWIFI-AX210,WH01S-NTA
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,2025/09/24,20.0,M.230-BTWIFI-AX210,WH01S-NTA
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,2025/09/17,25.0,M.230-BTWIFI-AX210,WH01S-NTA
2025/08/19,POD-251184,SO-20251179,Neousys Technology Incorp.,2025/09/24,20.0,M.230-BTWIFI-AX210,WH01S-NTA
2025/09/17,POD-251333,SO-20251311,Neousys Technology Incorp.,2025/10/01,10.0,M.230-BTWIFI-AX210,WH01S-NTA
2025/09/30,POD-251383,,Neousys Technology Incorp.,2025/10/15,5.0,M.230-BTWIFI-AX210,WH01S-NTA
2025/07/25,POD-251062,SO-20251044,Neousys Technology Incorp.,2025/12/24,5.0,mPCIe-Ado-AX92905,WH01S-NTA
2025/07/25,POD-251062,SO-20251044,Neousys Technology Incorp.,2025/12/24,5.0,mPCIe-Ado-AX92905,WH01S-NTA
2025/10/01,POD-251396,SO-20251390,Neousys Technology Incorp.,2025/10/29,1.0,mPCIe-COM-2RS232-X203,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,1.0,mPCIe-COM-2RS422/485-X202,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,2.0,mPCIe-COM-2RS422/485-X202,WH01S-NTA
2025/09/04,POD-251261,SO-20251248,Neousys Technology Incorp.,2025/10/08,3.0,mPCIe-COM-4RS232/422/485-X404,WH01S-NTA
2025/08/29,POD-251244,,Neousys Technology Incorp.,2025/09/10,5.0,mPCIeHS-BTWifi-WT-6218,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,1.0,Cbl-RAID-9540-4i,WH01S-NTA
2025/09/30,POD-251388,A250298,PhyTools,2025/10/07,2.0,mPCIe-CAN-IPEH-3049,WH01S-NTA
2025/10/01,POD-251402,A250303,PhyTools,2025/10/09,1.0,mPCIe-CAN-IPEH-4047,WH01S-NTA
2025/08/14,POD-251157,SO-20251145,Neousys Technology Incorp.,2025/09/03,1.0,mPCIe-DIO-0D01,WH01S-NTA
2025/08/21,POD-251191,SO-20251174,,2025/09/10,2.0,mPCIe-DIO-0D01,WH01S-NTA
2025/09/24,POD-251366,SO-20251351,Neousys Technology Incorp.,2025/10/10,5.0,PCIe-10G550X,Drop Ship
2025/09/30,POD-251383,,Neousys Technology Incorp.,2025/10/15,10.0,PCIe-PoE352at,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,1.0,PCIe-PoE354at-1,WH01S-NTA
2025/09/26,POD-251371,,Neousys Technology Incorp.,2025/10/16,10.0,PCIe-PoE550X,WH01S-NTA
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2025/10/01,1.0,PCIe-USB380,WH01S-NTA
2025/09/30,POD-251380,,Neousys Technology Incorp.,2025/10/15,35.0,GC-RTX2000Ada-Nvidia,WH01S-NTA
2025/09/30,POD-251393,A250302,Genoedge Corporation DBA SabrePC.COM,2025/10/09,8.0,GC-RTX4000SFFAda-PNY,WH01S-NTA
2025/09/18,POD-251337,SO-20251314,Neousys Technology Incorp.,2025/10/08,2.0,LTN-452(EA),WH01S-NTA
2025/07/25,POD-251059,SO-20251032,Neousys Technology Incorp.,2025/10/22,25.0,DDR3L-4GB-WT18-DL1,WH01S-NTA
2025/07/25,POD-251060,,Neousys Technology Incorp.,2025/11/19,25.0,DDR3L-4GB-WT18-DL1,WH01S-NTA
2025/05/05,POD-250648,SO-20250640,Neousys Technology Incorp.,2025/10/01,10.0,DDR4-16GB-32-SM,WH01S-NTA
2025/05/05,POD-250649,SO-20250641,Neousys Technology Incorp.,2025/11/05,10.0,DDR4-16GB-32-SM,WH01S-NTA
2025/05/05,POD-250650,SO-20250642,Neousys Technology Incorp.,2025/12/03,10.0,DDR4-16GB-32-SM,WH01S-NTA
